X,Y
-11.277632173034362,-29.850805481895804
-11.346005087834783,-29.92532744538039
-11.346005087834783,-29.92532744538039
-11.412568178260699,-30.0150066902861
-11.412568178260699,-30.0150066902861
-11.468344160355628,-30.092763574793935
-11.468344160355628,-30.092763574793935
-11.54768183361739,-30.174398933537304
-11.54768183361739,-30.174398933537304
-11.597982346080244,-30.266360307112336
-11.597982346080244,-30.266360307112336
-11.66733556787949,-30.36068595200777
-11.66733556787949,-30.36068595200777
-11.719269571593031,-30.460800203494728
-11.719269571593031,-30.460800203494728
-11.785853571724147,-30.566390620544553
-11.785853571724147,-30.566390620544553
-11.842012558598071,-30.686888134106994
-11.842012558598071,-30.686888134106994
-11.894354940275662,-30.789040605537593
-11.894354940275662,-30.789040605537593
-11.94358410150744,-30.891909568570554
-11.94358410150744,-30.891909568570554
-11.989916871418245,-30.985506031662226
-11.989916871418245,-30.985506031662226
-12.012044648290612,-31.066893621347845
-12.012044648290612,-31.066893621347845
-12.051461495109834,-31.159697719849646
-12.051461495109834,-31.159697719849646
-12.083686901605688,-31.250782309100032
-12.083686901605688,-31.250782309100032
-12.125405823695473,-31.33805346582085
-12.125405823695473,-31.33805346582085
-12.154923585243523,-31.43226277269423
-12.154923585243523,-31.43226277269423
-12.179507198161446,-31.525139675475657
-12.179507198161446,-31.525139675475657
-12.201402757782489,-31.61855127569288
-12.201402757782489,-31.61855127569288
-12.216554342885502,-31.72578774765134
-12.216554342885502,-31.72578774765134
-12.235279211890884,-31.846187092363834
-12.235279211890884,-31.846187092363834
-12.257994226063602,-31.961991325952113
-12.257994226063602,-31.961991325952113
-12.260718119097874,-32.0687637636438
-12.260718119097874,-32.0687637636438
-12.276957858353853,-32.16287262737751
-12.276957858353853,-32.16287262737751
-12.2850705482997,-32.24822445679456
-12.2850705482997,-32.24822445679456
-12.297619449789636,-32.344710553996265
-12.297619449789636,-32.344710553996265
-12.319025471573696,-32.44681400898844
-12.319025471573696,-32.44681400898844
-12.337427429272793,-32.53520386107266
-12.337427429272793,-32.53520386107266
-12.361050248262472,-32.624373256228864
-12.361050248262472,-32.624373256228864
-12.387078521773219,-32.7316920068115
-12.387078521773219,-32.7316920068115
-12.418678741552867,-32.830727375112474
-12.418678741552867,-32.830727375112474
-12.439751873142086,-32.939488735981286
-12.439751873142086,-32.939488735981286
-12.45857331273146,-33.047122994437814
-12.45857331273146,-33.047122994437814
-12.503019308205694,-33.16605180222541
-12.503019308205694,-33.16605180222541
-12.514723388827406,-33.28084768075496
-12.514723388827406,-33.28084768075496
-12.537707019015215,-33.37981786672026
-12.537707019015215,-33.37981786672026
-12.54479304747656,-33.48884344287217
-12.54479304747656,-33.48884344287217
-12.557658053468913,-33.58089164830744
-12.557658053468913,-33.58089164830744
-12.547839590115473,-33.68368395790458
-12.547839590115473,-33.68368395790458
-12.544895159895532,-33.774132473394275
-12.544895159895532,-33.774132473394275
-12.540553568513133,-33.8625352922827
-12.540553568513133,-33.8625352922827
-12.530691810068674,-33.95237644761801
-12.530691810068674,-33.95237644761801
-12.518432904733345,-34.04164443165064
-12.518432904733345,-34.04164443165064
-12.503062176401727,-34.13144391216338
-12.503062176401727,-34.13144391216338
-12.482796481694095,-34.214730949141085
-12.482796481694095,-34.214730949141085
-12.465908327139914,-34.29970864392817
-12.465908327139914,-34.29970864392817
-12.438133690040559,-34.385899068787694
-12.438133690040559,-34.385899068787694
-12.403514497098513,-34.46186206396669
-12.403514497098513,-34.46186206396669
-12.388015106669627,-34.5499954642728
-12.388015106669627,-34.5499954642728
-12.36421661998611,-34.63344079069793
-12.36421661998611,-34.63344079069793
-12.338222415186465,-34.70835896022618
-12.338222415186465,-34.70835896022618
-12.304737463244237,-34.783775500021875
-12.304737463244237,-34.783775500021875
-12.268223257618956,-34.84880846180022
-12.268223257618956,-34.84880846180022
-12.23142653866671,-34.91383928526193
-12.23142653866671,-34.91383928526193
-12.201236740220338,-34.96448916569352
-12.201236740220338,-34.96448916569352
-12.163598175393417,-35.010087377391756
-12.163598175393417,-35.010087377391756
-12.123625439591706,-35.04678736627102
-12.123625439591706,-35.04678736627102
-12.086473618168384,-35.08406372833997
-12.086473618168384,-35.08406372833997
-12.055994400172494,-35.11695028003305
-12.055994400172494,-35.11695028003305
-12.021439759409986,-35.14703082665801
-12.021439759409986,-35.14703082665801
-11.978702086722478,-35.17575438786298
-11.978702086722478,-35.17575438786298
-11.941297141485848,-35.20914358552545
-11.941297141485848,-35.20914358552545
-11.902462845668197,-35.244742112234235
-11.902462845668197,-35.244742112234235
-11.859098664135672,-35.26291525736451
-11.859098664135672,-35.26291525736451
-11.81811763450969,-35.28351158555597
-11.81811763450969,-35.28351158555597
-11.769503201590851,-35.3047902174294
-11.769503201590851,-35.3047902174294
-11.709104277659208,-35.35262140352279
-11.709104277659208,-35.35262140352279
-11.645242535159923,-35.391360816545784
-11.645242535159923,-35.391360816545784
-11.573818762786686,-35.42134746629745
-11.573818762786686,-35.42134746629745
-11.513226984883659,-35.43865024019033
-11.513226984883659,-35.43865024019033
-11.427501495927572,-35.45446779951453
-11.427501495927572,-35.45446779951453
-11.301720879855566,-35.480528024956584
-11.301720879855566,-35.480528024956584
-11.153232898679562,-35.53916356805712
-11.153232898679562,-35.53916356805712
-10.944992462755181,-35.57884590420872
-10.944992462755181,-35.57884590420872
-10.658659933251329,-35.633663484826684
-10.658659933251329,-35.633663484826684
-10.344111350714229,-35.664956108666956
-10.344111350714229,-35.664956108666956
-10.029402009444311,-35.68015147559345
-10.029402009444311,-35.68015147559345
-9.794762438279577,-35.66154035460204
-9.794762438279577,-35.66154035460204
-9.683430673670955,-35.644972120411694
-9.683430673670955,-35.644972120411694
-9.67086171777919,-35.644507012329996
-9.67086171777919,-35.644507012329996
-9.704294526600279,-35.65068031195551
-9.704294526600279,-35.65068031195551
-9.727921914309263,-35.66454993002117
-9.727921914309263,-35.66454993002117
-9.74909906857647,-35.66619023028761
-9.74909906857647,-35.66619023028761
-9.766255287220702,-35.67649566940963
-9.766255287220702,-35.67649566940963
-9.784147172234952,-35.68292142264545
-9.784147172234952,-35.68292142264545
