time_delta,timestamp_seconds,timestamp_raw,lat,lng,pose_x,pose_y
0.03998231887817383,1713393281.0665393,1713393281066539172,40.48582465,-80.33228348666667,1.8299025336746126,34.95477925054729
30.839067459106445,1713393311.8656244,1713393311865624340,40.48581562166667,-80.33228424333333,1.7801669344771653,33.966809569858015
53.44032025337219,1713393334.4668772,1713393334466877326,40.4858199,-80.33230442,1.7057316253194585,33.14405360259116
53.635969400405884,1713393334.6625264,1713393334662526316,40.48580836833333,-80.33228521666666,1.7055368143955585,33.14405496265007
82.43421173095703,1713393363.4607687,1713393363460768695,40.485817055,-80.33228186,1.9710649190237746,34.10923308506608
115.84521889686584,1713393396.8717759,1713393396871775830,40.48580344166667,-80.33229681166667,2.1267548337345943,33.56536619178951
116.03514075279236,1713393397.0616977,1713393397061697610,40.485812015,-80.33228017666667,2.1271444368312564,33.56536149966148
121.2339072227478,1713393402.2604642,1713393402260464256,40.485827605,-80.33227878666666,2.093385730520822,33.49480918701738
201.8318808078766,1713393482.8584378,1713393482858437779,40.485817923333336,-80.33227469,2.5546630740864202,34.38358135800809
203.23294472694397,1713393484.2595017,1713393484259501699,40.485808088333336,-80.33227034166667,2.920285944477655,33.31475923303515
204.43077874183655,1713393485.4573357,1713393485457335705,40.485797993333335,-80.33226571333333,3.2993214866146445,32.19090508110821
205.63153982162476,1713393486.6580968,1713393486658096833,40.4857888,-80.33226105333334,3.6866231414023787,31.188111257739365
206.8321328163147,1713393487.8586898,1713393487858689684,40.485779038333334,-80.3322557,4.1508770467480645,30.096724034287035
207.8324556350708,1713393488.8590126,1713393488859012717,40.485770826666666,-80.33225061,4.588713728939183,29.192183937877417
208.83046221733093,1713393489.8570192,1713393489857019162,40.485761661666665,-80.33224858166666,4.829576540156268,28.220104102045298
209.83257055282593,1713393490.8591275,1713393490859127466,40.48575236666667,-80.332249135,4.822394005255774,27.2091449117288
211.03224921226501,1713393492.0588062,1713393492058806199,40.485741886666666,-80.33225266333334,4.562714172760025,26.00090252608061
212.031010389328,1713393493.0575674,1713393493057567274,40.485733028333335,-80.33225686,4.228278171969578,25.02039911225438
213.0254611968994,1713393494.0520182,1713393494052018179,40.485725093333336,-80.33226272,3.780857634381391,24.092509196139872
214.23137092590332,1713393495.257928,1713393495257927871,40.48571698833333,-80.33227005,3.1875683474354446,23.194597529247403
215.43115997314453,1713393496.457717,1713393496457716848,40.485709955,-80.33227795666667,2.539805914508179,22.364173084497452
