Path_Index,X,Y,Source
0,-7.916526675938489,11.722496357913188,temp_path_beg
0,-7.8830915723862685,10.775445345960776,temp_path_beg
0,-7.857279144133487,10.474702595546844,temp_path_beg
0,-7.801376112501194,10.178076004639754,temp_path_beg
0,-7.715948417938325,9.888568504943262,temp_path_beg
0,-7.380108855936795,8.930842188841808,temp_path_beg
0,-7.057356611662099,7.96019131920885,temp_path_beg
0,-6.922788033899407,7.624556889870904,temp_path_beg
0,-6.748814704540077,7.307551443624768,temp_path_beg
0,-6.640553145764224,7.135723230653366,temp_path_beg
0,-6.646715178946398,6.978066207094409,temp_path_beg
0,-6.645895534044197,6.724367554501677,temp_path_beg
0,-6.623643560151848,6.471645320016803,temp_path_beg
0,-6.580118392701093,6.221706851702065,temp_path_beg
0,-6.345974079673013,5.148004451151815,temp_path_beg
0,-6.31824796154525,5.031991751713083,temp_path_beg
0,-6.05504741446476,4.020118145120673,temp_path_beg
0,-5.954774236318621,3.706425129509277,temp_path_beg
0,-5.57258770359429,2.7041672345014125,temp_path_beg
0,-5.200234665464798,1.6814164420218762,temp_path_beg
0,-5.190575613835641,1.655264351688507,temp_path_beg
0,-4.794959893529111,0.5992497570665571,temp_path_beg
0,-4.769987533385246,0.5348573101881893,temp_path_beg
0,-4.370014159641546,-0.4622905190836658,temp_path_beg
0,-4.2586823161906775,-0.7073995087718955,temp_path_beg
0,-3.787163651874748,-1.6328145452700678,temp_path_beg
0,-3.4989547859288,-2.2239883234157767,temp_path_beg
0,-3.372259835242943,-2.9239864985811503,temp_path_beg
0,-3.1943880241730844,-3.9903006336929687,temp_path_beg
0,-3.129245795166289,-4.287218337952962,temp_path_beg
0,-3.034390964824061,-4.576019643808294,temp_path_beg
0,-2.64145593035436,-5.595052036459144,temp_path_beg
0,-2.5359449841047303,-5.8365157937357175,temp_path_beg
0,-2.0410922505392355,-6.845711426968308,temp_path_beg
0,-2.006937376640465,-6.91320051981892,temp_path_beg
0,-1.6126081130672971,-7.668594226565929,temp_path_beg
0,-1.4480134443964034,-8.175755627357299,temp_path_beg
0,-1.3579082373146891,-8.914845747776829,temp_path_beg
0,-1.3089537277493664,-9.20062184331237,temp_path_beg
0,-1.2326409191520002,-9.480337549039277,temp_path_beg
0,-0.8906351577444633,-10.531050726581872,temp_path_beg
0,-0.6766294191821972,-11.197844128369994,temp_path_beg
0,-0.6480295184990204,-11.891947656068956,temp_path_beg
0,-0.6186968140069133,-12.20460610940413,temp_path_beg
0,-0.4599352285263833,-13.28498410816603,temp_path_beg
0,-0.3976779381497661,-13.59443165763303,temp_path_beg
0,-0.3032514920108706,-13.895624954945154,temp_path_beg
0,0.0755142271349783,-14.912887346688864,temp_path_beg
0,0.3125461457950979,-15.55338157589554,temp_path_beg
0,0.3560016190832464,-16.150722144470794,temp_path_beg
0,0.3762177278214231,-17.176264639632137,temp_path_beg
0,0.390384636602302,-17.41425810398061,temp_path_beg
0,0.42340558753189,-17.650375039367933,temp_path_beg
0,0.6152252353246199,-18.71237170328853,temp_path_beg
0,0.6465944221092914,-18.86366069418045,temp_path_beg
0,0.806790002406253,-19.54721267696792,temp_path_beg
0,0.7904032618145496,-20.031951258112574,temp_path_beg
0,0.629210740987074,-20.904988359518462,temp_path_beg
0,0.594031108124458,-21.15322734739636,temp_path_beg
0,0.5797023176900113,-21.403536930584213,temp_path_beg
0,0.5628474890007711,-22.49911964023191,temp_path_beg
0,0.5704033665310728,-22.76298817728025,temp_path_beg
0,0.6011258921038012,-23.02517098097208,temp_path_beg
0,0.7764259283115713,-24.106903892029884,temp_path_beg
0,0.8036543364286368,-24.252166377793834,temp_path_beg
0,1.04008928290719,-25.361843736558352,temp_path_beg
0,1.182640574973631,-26.07456542506628,temp_path_beg
0,1.1659757005954177,-26.47132192113037,temp_path_beg
0,0.966427597004266,-27.203845227344917,temp_path_beg
0,0.8851328381355299,-27.612205138020883,temp_path_beg
0,0.7983330200011255,-28.291687880354736,temp_path_beg
0,0.7214275173184842,-28.351248407961723,temp_path_beg
0,-0.0316392307524262,-28.828207510849676,temp_path_beg
0,-0.7540887213816256,-29.249317087963245,temp_path_beg
0,-1.0458964142068623,-29.350435698273923,temp_path_beg
0,-1.6366419235973713,-29.331610398329147,temp_path_beg
0,-1.9471665585217712,-29.33780037508576,temp_path_beg
0,-2.2553870782087264,-29.376062313759626,temp_path_beg
0,-2.557999911268118,-29.445986114964565,temp_path_beg
0,-3.650426983266948,-29.758780928850765,temp_path_beg
0,-3.888178980893615,-29.83773683948744,temp_path_beg
0,-4.118514432379644,-29.936253985145765,temp_path_beg
0,-4.339827130609766,-30.05364537240241,temp_path_beg
0,-5.330502478932607,-30.633382330660307,temp_path_beg
0,-6.14482965716554,-31.18195855223557,circle_arc_df
0,-6.462965663528352,-30.603395723998574,circle_arc_df
0,-6.8574873821339395,-30.073963879177576,circle_arc_df
0,-7.320929971229862,-29.603680526958787,circle_arc_df
0,-7.844524520447461,-29.201444013459962,circle_arc_df
0,-8.418363969495694,-28.874865153951124,circle_arc_df
0,-9.031590562067523,-28.630123226760837,circle_arc_df
0,-9.672601288097706,-28.471849053642387,circle_arc_df
0,-10.329267427148887,-28.40303737886487,circle_arc_df
0,-10.989164038891978,-28.42499020492577,circle_arc_df
0,-11.639805058435432,-28.53729215704383,circle_arc_df
0,-12.268879548207279,-28.737818342566722,circle_arc_df
0,-12.864484636210406,-29.02277455658365,circle_arc_df
0,-13.415350733169454,-29.38676907300275,circle_arc_df
0,-13.911054767180762,-29.82291466271677,circle_arc_df
