x,y,angle
-6.834920210524852,2.654859939966094,1.7566600484670878
-6.864718244011268,2.8133314954593867,1.8535608392396632
-6.913364778631099,2.9807607336173234,1.9504616300122388
-6.977981749717607,3.1426980121182018,1.9989120253985242
-6.993159838344113,3.1759583228961774,1.9036474828524685
-6.993262125449447,3.1762541952296495,1.8553829212500368
-7.012682878150913,3.2426438555291384,1.6937169204318037
-7.02139238527282,3.313141379695181,1.8014942365183373
-7.065730186418362,3.5019095440387504,1.8553828945616049
-7.108063306940453,3.6466249323882662,1.860755124373435
-7.113592840601945,3.665157533824561,1.866127354185216
-7.12835258592596,3.713672965189502,1.69366715331034
-7.12879591793929,3.7172629038850977,1.5707951318816074
-7.1287959012295286,3.7312469826671006,1.6121772745809213
-7.1349571393544124,3.8800526831964026,1.694941559979584
-7.148197829601583,3.98615903867083,1.576096161787952
-7.148691943301316,4.079390068336574,1.6802684032251625
-7.1641142779887765,4.219706011251625,1.5391469306821406
-7.162661891070383,4.265580565586096,1.5707951247331613
-7.162661770638771,4.365768108214568,1.6219439888512885
-7.172071681786002,4.549583039999314,1.724241717087541
-7.200203469911475,4.731476080195175,1.8265394453237975
-7.246762997412319,4.909545409316524,1.877688309441937
-7.2548300308098925,4.935001175420285,1.670351781709819
-7.266175305639713,5.048583780732902,1.7609185696267722
-7.296972165334231,5.208611855709227,1.8514853575437202
-7.342116231911453,5.365198715312911,1.8967687515021985
-7.3759827347264295,5.465386298438183,1.9154805257876206
-7.398743121350277,5.528782879345167,1.9341923000730457
-7.427760103590293,5.605086143403496,1.8661272404541318
-7.443790007521809,5.657776620409904,1.9186076099806884
-7.508155307941071,5.835311525058204,2.0235683490338117
-7.522447430092209,5.8646902578128515,1.8715351940877858
-7.560067709055245,5.985988867287585,1.9713903955020606
-7.6301307330135995,6.151429418803182,2.071245596916325
-7.652818470674594,6.192914734262952,1.943921587357231
-7.708762870929621,6.3358258310848035,2.03820642237775
-7.776677536892824,6.470387059376086,1.877688185732273
-7.797093554213051,6.534810442708326,1.8872284128529488
-7.80778073603874,6.567449604109269,1.8967686399736605
-7.841647226960456,6.667637188883158,1.933674551896307
-7.888797825248714,6.791818220850922,1.9705804638189524
-7.8968050206271965,6.810768422628822,1.8312204888886714
-7.946229772053294,6.996244014123482,1.9430146140251359
-8.019375330623332,7.183596230302422,1.998911676593605
-8.020083041224245,7.18514706432672,1.8553826371536826
-8.051433405947428,7.292318104016184,1.8360282863778152
-8.089200253649842,7.431355115437506,1.838325107267417
-8.091386035491453,7.439329527180911,1.840621928157023
-8.096701197854575,7.458547645206097,1.721752270135235
-8.09752698011311,7.463976382438585,1.7811870877387093
-8.142185639627815,7.673100485283118,1.8406219053420376
-8.1708856942367,7.77687174345008,1.819087738712086
-8.199989163542167,7.891668037139705,1.8595106806605284
-8.241411076707939,8.031129564834753,1.9403565645574432
-8.281761692187743,8.135298538753956,1.6845883938451416
-8.294366589427257,8.245591331031072,1.7741090828382768
-8.326891745054375,8.403356944285076,1.8636297718314052
-8.373391090209426,8.557583029543478,1.908390116328009
-8.384465508795744,8.589131214588908,1.7753233141213292
-8.385505581928884,8.594145369481879,1.8163629779370638
-8.421412661400836,8.737415609659333,1.8984423055681947
-8.439603179787637,8.790933381849486,1.7586949899186968
-8.464336453817982,8.921011527700454,1.7769105918342432
-8.477756396631213,8.985196130240091,1.7951261937498117
-8.48659377901686,9.023927659587866,1.7124471580766845
-8.501482316766205,9.128331035564921,1.7614328788107225
-8.534884183398672,9.301415625206882,1.8594043202787975
-8.554031895894811,9.365908306065155,1.6949412857710373
-8.55885665387806,9.404572349898984,1.777705512680474
-8.589452872242928,9.550328781847337,1.8190876261351816
-8.613638239005907,9.645726060737774,1.77532324484794
-8.631036897466673,9.729604392040573,1.8150404143473822
-8.665604086145695,9.86830608655467,1.894474753346303
-8.688185512558691,9.93561752759558,1.6995955889213763
-8.690880772486008,9.956427734581698,1.805374779517906
-8.735115977563215,10.141529284841248,1.9111539701144205
-8.791366763874699,10.300367297116093,1.8006800566115357
-8.793271575194947,10.308506795662959,1.867435964063364
-8.863467304982231,10.538161167716916,1.9341918715151585
-8.879253054906231,10.579671542178119,1.877687876368364
-8.906219315573978,10.664764515358467,1.9376184346896221
