X,Y
-16.23649404543002,0.769060551225798
-16.259065994102485,0.8473540048998375
-16.29293238875596,0.9475416244777551
-16.304312547800446,0.9792399270641214
-16.34422081334601,1.0841833285682552
-16.369168921166292,1.1661883607032295
-16.4013514754483,1.2549558469846613
-16.435762978335063,1.3256919565800032
-16.44303001853183,1.3613795961721737
-16.46964060269157,1.4471801077896067
-16.504672025645235,1.5299004220357288
-16.547775277068183,1.6087164147015964
-16.550199239412226,1.6122572049902906
-16.563866730587677,1.6599958740821221
-16.594787656225535,1.7389842525713712
-16.63300762278963,1.814710745521343
-16.670343392265785,1.874038690994083
-16.677052697836988,1.899702416465118
-16.719385659119666,2.033285904868814
-16.724729233143712,2.049605493478279
-16.758595616107467,2.1497931144729665
-16.78217084721541,2.211883653045598
-16.812776259285563,2.284316065902786
-16.826370604278086,2.323638794920409
-16.840025826065716,2.3894704446055313
-16.86591955813768,2.4866419218923577
-16.902492236170584,2.5803180692310494
-16.9284485440732,2.6371973084215905
-16.943490585647307,2.686640886518776
-16.982020685257456,2.818356335852467
-17.022070482853213,2.965798556473701
-17.023163368477736,2.96978575991189
-17.042754100728473,3.0406205838450227
-17.051633509322226,3.0989947198851575
-17.07396272573392,3.203556793532905
-17.10524585681206,3.3166681996730714
-17.13673067599427,3.440858098720848
-17.157441557399824,3.5105888850065954
-17.1837160998668,3.57841934706292
-17.229347097540657,3.6834123420473315
-17.231930288311304,3.702092751082821
-17.23827331987931,3.793833937856114
-17.247418475999986,3.8738547776455126
-17.263680968715597,3.9527376022130114
-17.286930558173154,4.029850670308679
-17.317867532936322,4.117982500175563
-17.33108739637498,4.181715328484667
-17.34904085875499,4.253350467603026
-17.372807042937414,4.323272484574394
-17.38054229471279,4.341083195244932
-17.387435852685048,4.389676288765832
-17.412835481954883,4.523259739315533
-17.419545418008497,4.555352044488858
-17.436663929888837,4.630377592025223
-17.456807902151322,4.771634912940826
-17.473508742368555,4.858177227140996
-17.49859461425926,4.9426709502366535
-17.50161249297888,4.951268146237682
-17.5016737502296,4.952747672556824
-17.510894588544144,5.0266411267952895
-17.526192618812843,5.099519358856813
-17.555218389500915,5.21400975062613
-17.576617499552487,5.317174679270621
-17.593901018972105,5.3865255442311755
-17.61663308774008,5.454286267100942
-17.631101627715655,5.492333010030527
-17.640405586973475,5.564169852093579
-17.662523089836682,5.656720652302259
-17.694288671102104,5.746418937676288
-17.71685587552886,5.800816795813908
-17.73393372075678,5.873792933117009
-17.769031461191553,5.988620155547777
-17.793857503527757,6.0539031906309475
-17.82850704717074,6.163241440157053
-17.867173237434674,6.263879490896261
-17.91759573431119,6.359172005475593
-17.9423520718237,6.399859265253677
-17.963763237515856,6.456162480267129
-17.975958296561533,6.486554705390714
-18.018291293750853,6.586742353619121
-18.028546986006045,6.6100861078262545
-18.056671847391655,6.671717453495342
-18.071274961737714,6.717798270340278
-18.08840522031696,6.792875350515729
-18.102054080556986,6.845351848563289
-18.14438695968983,6.990067294616236
-18.157583753969096,7.031447759427491
-18.190646908476122,7.127085693392334
-18.20541669628475,7.180489340096697
-18.223336253874304,7.282586945180331
-18.24873582868069,7.4273023382267
-18.254739811040924,7.461510341155167
-18.25248829761469,7.54242007769534
-18.261132430768015,7.643679644680359
-18.270788957575192,7.711395024615452
-18.25537115305216,7.805993037559394
-18.245794494304633,7.888684214966456
-18.23945100743792,7.980425390315743
-18.226734278863912,8.072383409644376
-18.219404944603106,8.15009165455131
