time_delta,timestamp_seconds,timestamp_raw,lat,lng,group,use,CounterClockwiseSequence,CounterClockwiseSegment
0.00,1698861740.78065,1.69886174078065E+018,40.48528342,-80.332626745,Disregard – non moving beginning,No,NA,
0.20,1698861740.97991,1.69886174097991E+018,40.4852834116667,-80.33262674,Disregard – non moving beginning,No,NA,
0.40,1698861741.18121,1.69886174118121E+018,40.4852834116667,-80.3326267533333,Disregard – non moving beginning,No,NA,
0.60,1698861741.38005,1.69886174138005E+018,40.485283415,-80.3326267466667,Disregard – non moving beginning,No,NA,
0.80,1698861741.584,1.698861741584E+018,40.48528341,-80.3326267616667,Disregard – non moving beginning,No,NA,
1.00,1698861741.78007,1.69886174178007E+018,40.48528342,-80.332626755,Disregard – non moving beginning,No,NA,
1.20,1698861741.98113,1.69886174198113E+018,40.4852834366667,-80.332626765,Disregard – non moving beginning,No,NA,
1.40,1698861742.18054,1.69886174218054E+018,40.4852833883333,-80.3326267116667,Disregard – non moving beginning,No,NA,
1.60,1698861742.38145,1.69886174238145E+018,40.4852834083333,-80.3326267383333,Disregard – non moving beginning,No,NA,
1.80,1698861742.58364,1.69886174258364E+018,40.48528341,-80.3326267433333,Disregard – non moving beginning,No,NA,
2.00,1698861742.78023,1.69886174278023E+018,40.4852834066667,-80.3326267233333,Disregard – non moving beginning,No,NA,
2.20,1698861742.98061,1.69886174298061E+018,40.4852834016667,-80.3326267116667,Disregard – non moving beginning,No,NA,
2.40,1698861743.17994,1.69886174317994E+018,40.4852834033333,-80.33262669,Disregard – non moving beginning,No,NA,
2.60,1698861743.3804,1.6988617433804E+018,40.48528339,-80.3326266966667,Disregard – non moving beginning,No,NA,
2.80,1698861743.58098,1.69886174358098E+018,40.4852833783333,-80.3326266783333,Disregard – non moving beginning,No,NA,
3.00,1698861743.77966,1.69886174377966E+018,40.4852834,-80.3326266966667,Disregard – non moving beginning,No,NA,
3.20,1698861743.97916,1.69886174397916E+018,40.48528339,-80.332626705,Disregard – non moving beginning,No,NA,
3.40,1698861744.18033,1.69886174418033E+018,40.485283395,-80.33262673,Disregard – non moving beginning,No,NA,
3.60,1698861744.37951,1.69886174437951E+018,40.4852834066667,-80.3326267333333,Disregard – non moving beginning,No,NA,
3.80,1698861744.58015,1.69886174458015E+018,40.485283425,-80.3326267566667,Disregard – non moving beginning,No,NA,
4.00,1698861744.78137,1.69886174478137E+018,40.4852834366667,-80.3326267616667,Disregard – non moving beginning,No,NA,
4.20,1698861744.98049,1.69886174498049E+018,40.4852834333333,-80.3326267583333,Disregard – non moving beginning,No,NA,
4.40,1698861745.18036,1.69886174518036E+018,40.4852833983333,-80.3326267116667,Disregard – non moving beginning,No,NA,
4.60,1698861745.38052,1.69886174538052E+018,40.4852834216667,-80.3326267433333,Disregard – non moving beginning,No,NA,
4.80,1698861745.5801,1.6988617455801E+018,40.4852834216667,-80.3326267283333,Disregard – non moving beginning,No,NA,
5.00,1698861745.77984,1.69886174577984E+018,40.4852834133333,-80.33262675,Disregard – non moving beginning,No,NA,
5.20,1698861745.98244,1.69886174598244E+018,40.4852834166667,-80.332626725,Disregard – non moving beginning,No,NA,
5.40,1698861746.17989,1.69886174617989E+018,40.4852834066667,-80.33262671,Disregard – non moving beginning,No,NA,
