x1,y1,x2,y2,upper_intercept_x,upper_intercept_y,lower_intercept_x,lower_intercept_y,,start_x,start_y,,
-2.85969597496795,-6.67844048843424,-10.4703951378672,15.4246348071759,-9.70962631645925,15.6865885197165,-2.09892715356004,-6.41648677589366,,-2.85969597496795,-6.67844048843424,start of strip 1,"start x, y"
-1.55887772074801,-7.98490421314902,-10.5562192533102,18.1452729358826,-9.79545043190229,18.4072266484232,-0.798108899340089,-7.72295050060843,,-10.4703951378672,15.4246348071759,end of strip 1,
0.13599394689645,-10.4357821475165,-11.314649992757,22.8193025384177,-10.5538811713491,23.0812562509583,0.896762768304366,-10.173828434976,,-9.70962631645925,15.6865885197165,start of strip 2,Intercept 1 – upper
2.14077595566411,-13.7867050656783,-10.8696869961067,23.9984229624528,-10.1089181746988,24.2603766749934,2.90154477707204,-13.5247513531377,,-1.55887772074801,-7.98490421314902,end line 2,original
3.50279293044337,-15.2709027803413,-10.2151409693184,24.5688700705849,-9.4543721479105,24.8308237831255,4.2635617518513,-15.0089490678007,,-0.798108899340089,-7.72295050060843,start of strip 3,Intercept – lower
4.38123020944592,-15.3506830823063,-9.53455973071854,25.0637054333711,-8.77379090931063,25.3256591459117,5.14199903085384,-15.0887293697657,,-11.314649992757,22.8193025384177,end of strip 3,original
5.16335209453237,-15.1507431695726,-8.85953054395139,25.5746651254834,-8.09876172254348,25.8366188380239,5.92412091594028,-14.888789457032,,-10.5538811713491,23.0812562509583,start of strip 4,Intercept 3 – upper
5.96019020841663,-14.9935422885919,-8.24062363847152,26.2486157573901,-7.47985481706359,26.5105694699307,5.89754623300923,-14.8116109737929,,2.14077595566411,-13.7867050656783,end of strip 4,The next segment is > so go to the end (i.e. original)
6.65831505441714,-14.5496572612523,-7.56397671985948,26.7548772150813,-6.80320789845155,27.0168309276218,6.58507745184374,-14.3369598192037,,,,,
7.34584627325167,-14.0750061066632,-6.93893393225973,27.4110079513913,-6.17816511085181,27.6729616639319,7.30043592223796,-13.9431248712901,,,,,
8.06120474364589,-13.6811711587495,-6.41981205291525,28.3747553416297,-5.65904323150734,28.6367090541702,8.02622914721543,-13.579594651143,,-10,-4,starting point,
8.78699796862335,-13.3176409386024,-5.96054498344961,29.5123337217993,-5.19977616204168,29.7742874343399,9.54776679003126,-13.0556872260618,,,,,
9.56840994002154,-13.115639286813,-5.45814688704786,30.5246505043758,-4.69737806563995,30.7866042169164,10.3291787614295,-12.8536855742725,,,,,
10.3763053246367,-12.9905510517665,-4.94760256800457,31.5133089385447,-4.18683374659664,31.7752626510853,11.1370741460446,-12.7285973392259,,5.042,,,
11.1433098684413,-12.7467071920404,-4.41575320073437,32.4400930199037,-3.65498437932645,32.7020467324443,11.9040786898492,-12.4847534794998,,,,,
11.9933551730433,-12.7440312131128,-3.87248325007468,33.3337093187535,-3.11171442866675,33.5956630312941,12.7541239944512,-12.4820775005722,,,,,
12.7857397416215,-12.5738962974099,-3.30772932111682,34.164931614134,-2.5469604997089,34.4268853266746,13.5465085630294,-12.3119425848693,,,,,
13.5532532731489,-12.3315306453652,-2.712063169776,34.9063782970168,-1.95129434836808,35.1683320095574,14.3140220945569,-12.0695769328246,,,,,
14.3253848538063,-12.1025767818374,-2.12090106638004,35.6609056849346,-1.36013224497214,35.9228593974752,15.0861536752143,-11.8406230692968,,,,,
15.0959698204472,-11.8691312250593,-1.51397871826006,36.3696619986901,-0.753209896852134,36.6316157112306,15.8567386418552,-11.6071775125187,,,,,
15.8694519382329,-11.6440996061502,-0.886288439495083,37.0181038623596,-0.125519618087166,37.2800575749001,16.6302207596409,-11.3821458936096,,,,,
16.6332999422307,-11.3910884891815,-0.269651935010258,37.6986482175328,0.491116886397673,37.9606019300734,17.3940687636387,-11.1291347766409,,,,,
17.3991096140731,-11.1437744693053,0.384919380847758,38.2690218808735,1.14568820225567,38.5309755934141,17.3940065893193,-11.1289542093064,,,,,
18.1547754107273,-10.8670004967658,1.04328975615172,38.8283622744462,1.80405857755964,39.0903159869868,18.1463392312248,-10.8425000524887,,,,,
18.9071080526327,-10.5805463399481,1.71367209199227,39.3528174015665,2.47444091340019,39.6147711141071,18.8958815574068,-10.5479422303949,,,,,
19.6566503788147,-10.2859885178544,2.38262138231498,39.8814343950678,3.1433902037229,40.1433881076084,20.4174192002227,-10.0240348053138,,,,,
20.4309990546543,-10.0634735662713,3.06838749336129,40.3612117948958,3.82915631476922,40.6231655074364,20.4128366633367,-10.0107261518421,,,,,
21.1736054847446,-9.74877243930151,3.76357853503612,40.8136172086711,4.52434735644401,41.0755709212116,21.1657939888135,-9.72608620784767,,,,,
21.9265628102214,-9.4641324953071,4.46877127667751,41.2369755766081,5.22954009808543,41.4989292891487,21.9238984036294,-9.45639449669989,,,,,
22.6846672250373,-9.19444078415931,5.18577453804797,41.626033704677,5.9465433594559,41.8879874172176,22.652415691914,-9.1007755308408,,,,,
23.4131845133219,-8.83882181830022,5.90779898606252,42.0005092478754,6.66856780747044,42.262462960416,23.378395678363,-8.737787705391,,,,,
24.1391644997709,-8.47583399285042,6.65742678110958,42.2948188503617,7.41819560251751,42.5567725629022,24.8999333211789,-8.21388028030983,,,,,
24.9208267714654,-8.27455926590423,7.40576283077,42.592879953851,8.16653165217792,42.8548336663916,24.9076452771769,-8.23627742680746,,,,,
25.6684140985848,-7.97432371426688,8.16244608625839,42.8666990113766,8.9232149076663,43.1286527239172,25.6404170405549,-7.89301435379348,,,,,
