x,y,angle,,,
-5,-12,5.9243131626871,,,-5.0       -12.0       5.924353243901755
-2.85969597496795,-6.67844048843424,1.90240888467382,,,-2.86       -6.678   1.902381653857587
-10.4703951378672,15.4246348071759,1.90240888467382,,,-10.47    15.425   1.902381653857587
-9.70962631645925,15.6865885197165,5.04400153826361,,,-9.71      15.687   5.044004436383807
-1.55887772074801,-7.98490421314902,5.04400153826361,,,-1.559    -7.985    5.044004436383807
-0.798108899340089,-7.72295050060843,1.90240888467382,,,-0.798    -7.723    1.9024248677612476
-11.314649992757,22.8193025384177,1.90240888467382,,,-11.315  22.819   1.902381653857587
-10.5538811713491,23.0812562509583,5.04400153826361,,,-10.554  23.081   5.044009529517675
2.14077595566411,-13.7867050656783,5.04400153826361,,,2.141    -13.787   5.044009529517675
2.90154477707204,-13.5247513531377,1.90240888467382,,,
-10.2151409693184,24.5688700705849,1.90240888467382,,,
-9.4543721479105,24.8308237831255,5.04400153826361,,,
4.38123020944592,-15.3506830823063,5.04400153826361,,,
5.14199903085384,-15.0887293697657,1.90240888467382,,,
-8.85953054395139,25.5746651254834,1.90240888467382,,,
