x,y,angle,note
20.6077666191395,-8.03224164732621,3.41770750622839,
20.4641988181763,-8.07292195675948,3.45916937779125,
20.3625988373101,-8.10631808998481,3.5233728532335,
20.1482545358468,-8.19237269465992,3.58757632867575,
20.0551212590437,-8.23690075066855,3.65536508724901,Intersection – start
19.926293777251,-8.30960092940589,3.53673515730681,Intersection – end
19.8603881338213,-8.33708879685801,3.5875762817189,
19.7672548520007,-8.38161684989259,3.60666920253178,
15.2594226147657,-9.92410149672599,3.47336917469924,
15.0894567174573,-9.98265662249542,3.57328272808811,
14.9904552716067,-10.0282634369403,3.30326589694023,
14.973253467984,-10.0310689951405,3.42501745240731,Intersection – start
14.7629740664272,-10.0923162316108,3.48589323014107,Intersection – end
14.7617539975465,-10.0927537275543,3.4062129086273,
14.7025086881107,-10.1088077183954,3.30573937627341,
14.5371679258451,-10.1361942747421,3.37624476071948,
20.4433322518139,-9.04886886894189,3.655365087249,
20.3371470119258,-9.10879153304824,3.72315384582227,
20.3232743843832,-9.11791142700699,3.53673515730681,Intersection – start
20.248599088464,-9.14905693336051,3.5875762817189,Intersection – end
20.1554658066435,-9.19358498639509,3.6066692025318,
20.1247506567902,-9.2089974632154,3.62576212334468,
20.0552944756643,-9.2455259933169,3.58757626904681,
15.5097162735301,-10.7885973523449,3.47336917469924,
15.4247333248759,-10.8178749152297,3.57328272808811,
15.3430945646993,-10.8554832931164,3.67319628147697,Intersection – start
15.2827602242623,-10.8909643012667,3.24239011920681,Intersection – end
15.2799789784551,-10.8912455971086,3.30326589694026,
15.1718983131124,-10.9088732019565,3.4250174524073,
20.5436767612863,-10.0055531228976,3.62576212334467,
20.4590101526661,-10.0500811506619,3.58757626904681,
20.3658768695926,-10.0946092028455,3.48589396743556,
20.2727435546269,-10.1280053026029,3.51729846072188,Intersection – start
20.1880769125787,-10.1614013795853,3.39873325357038,Intersection – end
20.1034102398572,-10.1836655063287,3.51729841718549,
20.0187435955539,-10.217061579941,3.35731820609987,
16.3018768151172,-11.5083767071621,3.41621812863411,
16.1833434395687,-11.5417728122216,3.58757561397497,
16.0902101127481,-11.5863008103661,4.00462830022082,
16.0140102296407,-11.6753565656406,2.86697149585913,Intersection – start
15.8954767084501,-11.6419609719153,3.22358529122705,Intersection – end
15.7600099322944,-11.6530932079639,3.72315305817142,
15.6753432993946,-11.708753131548,3.58757552922603,
15.5822099676142,-11.7532811223667,3.35731756823384,
