-5.000	-12.000	5.920
-2.860	-6.678	1.902
-10.470	15.425	1.902
-9.710	15.687	5.042
-1.559	-7.985	5.042
-0.798	-7.723	1.902
-11.315	22.819	1.902
-10.554	23.081	5.042
2.141	-13.787	5.042
2.902	-13.525	1.902
-10.215	24.569	1.902
-9.454	24.831	5.042
4.381	-15.351	5.042
5.142	-15.089	1.902
-8.860	25.575	1.902
-8.099	25.837	5.042
5.898	-14.812	5.042
6.658	-14.550	1.902
-7.564	26.755	1.902
-6.803	27.017	5.042
7.300	-13.943	5.042
8.061	-13.681	1.902
-6.420	28.375	1.902
-5.659	28.637	5.042
8.787	-13.318	5.042
9.548	-13.056	1.902
-5.458	30.525	1.902
-4.697	30.787	5.042
10.376	-12.991	5.042
11.137	-12.729	1.902
-4.416	32.440	1.902
-3.655	32.702	5.042
11.993	-12.744	5.042
12.754	-12.482	1.902
-3.308	34.165	1.902
-2.547	34.427	5.042
13.553	-12.332	5.042
14.314	-12.070	1.902
-2.121	35.661	1.902
-1.360	35.923	5.042
15.096	-11.869	5.042
15.857	-11.607	1.902
-0.886	37.018	1.902
-0.126	37.280	5.042
16.633	-11.391	5.042
17.394	-11.129	1.902
0.385	38.269	1.902
1.146	38.531	5.042
18.146	-10.843	5.042
18.907	-10.581	1.902
1.714	39.353	1.902
2.474	39.615	5.042
19.657	-10.286	5.042
20.417	-10.024	1.902
3.068	40.361	1.902
3.829	40.623	5.042
21.166	-9.726	5.042
21.927	-9.464	1.902
4.469	41.237	1.902
5.230	41.499	5.042
22.652	-9.101	5.042
23.413	-8.839	1.902
5.908	42.001	1.902
6.669	42.262	5.042
24.139	-8.476	5.042
24.900	-8.214	1.902
7.406	42.593	1.902
8.167	42.855	5.042
25.640	-7.893	5.042
26.401	-7.631	1.902
8.911	43.165	1.902
9.692	43.368	5.042
27.068	-7.097	5.042
27.829	-6.835	1.902
10.453	43.630	1.902
11.343	43.515	5.042
28.554	-6.468	5.042
29.314	-6.206	1.902
12.104	43.777	1.902
12.907	43.915	5.042
30.058	-5.896	5.042
30.819	-5.634	1.902
13.668	44.177	1.902
14.516	44.187	5.042
31.585	-5.387	5.042
32.346	-5.125	1.902
15.276	44.449	1.902
16.037	44.711	5.042
33.135	-4.946	5.042
33.896	-4.684	1.902
16.772	45.048	1.902
17.533	45.310	5.042
34.628	-4.338	5.042
35.389	-4.077	1.902
18.248	45.705	1.902
19.008	45.967	5.042
36.101	-3.672	5.042
36.861	-3.411	1.902
19.697	46.440	1.902
20.531	46.488	5.042
37.651	-3.233	5.042
38.412	-2.971	1.902
21.292	46.750	1.902
22.053	47.012	5.042
39.141	-2.617	5.042
39.902	-2.355	1.902
23.228	46.069	1.902
23.989	46.331	5.042
39.457	1.408	5.042
40.218	1.670	1.902
25.820	43.484	1.902
26.581	43.746	5.042
40.355	3.744	5.042
41.115	4.006	1.902
27.844	42.550	1.902
28.605	42.812	5.042
41.528	5.281	5.042
42.288	5.543	1.902
30.500	39.800	1.902
31.100	40.550	5.042
39.780	15.290	5.042
