X,Y
7.974345922715202,-4.8438945997788085
12.970414100107421,-8.590934792835945
43.17385034953654,-1.2102756056122717
42.83316958904017,5.8296207768059904
40.10802272399915,10.712111897940973
36.70160795510216,14.00494563848495
34.20355691140072,19.79580660062192
34.544169058586384,25.700222885718063
34.430598597489215,30.92335456879405
32.046108012957575,35.12455634705532
33.18155083508661,39.552863695057574
32.954444449037794,42.73215509623138
30.910604657233453,45.003068680546086
26.174106592887572,46.29978305184867
21.518711795695317,48.23005128679071
16.74977923783082,47.5487627445352
12.775670050292536,45.845563799212925
-2.8936913842203484,41.757893227040604
-4.029154088814754,39.48697044861293
-5.505255549070757,38.01087087025052
-8.116820483150837,35.96704128427639
-7.435546118028669,32.90129157413607
-5.845901893031156,28.1323447698738
-4.596894851535456,23.476941888250977
-6.300095068174336,18.93508471692367
-6.413646144240521,13.598397651018209
-4.8239978197801605,7.807518839906467
0.7073465670529892,1.0605353665142638
