-6.83	2.65	1.76	2.5	1.5
-6.86	2.81	1.85	2.5	1.5
-6.91	2.98	1.95	2.5	1.5
-6.98	3.14	2	2.5	1.5
-6.99	3.18	1.9	2.5	1.5
-6.99	3.18	1.86	2.5	1.5
-7.01	3.24	1.69	2.5	1.5
-7.02	3.31	1.8	2.5	1.5
-7.07	3.5	1.86	2.5	1.5
-7.11	3.65	1.86	2.5	1.5
-7.11	3.67	1.87	2.5	1.5
-7.13	3.71	1.69	2.5	1.5
-7.13	3.72	1.57	2.5	1.5
-7.13	3.73	1.61	2.5	1.5
-7.13	3.88	1.69	2.5	1.5
-7.15	3.99	1.58	2.5	1.5
-7.15	4.08	1.68	2.5	1.5
-7.16	4.22	1.54	2.5	1.5
-7.16	4.27	1.57	2.5	1.5
-7.16	4.37	1.62	2.5	1.5
-7.17	4.55	1.72	2.5	1.5
-7.2	4.73	1.83	2.5	1.5
-7.25	4.91	1.88	2.5	1.5
-7.25	4.94	1.67	2.5	1.5
-7.27	5.05	1.76	2.5	1.5
-7.3	5.21	1.85	2.5	1.5
-7.34	5.37	1.9	2.5	1.5
-7.38	5.47	1.92	2.5	1.5
-7.4	5.53	1.93	2.5	1.5
-7.43	5.61	1.87	2.5	1.5
-7.44	5.66	1.92	2.5	1.5
-7.51	5.84	2.02	2.5	1.5
-7.52	5.86	1.87	2.5	1.5
-7.56	5.99	1.97	2.5	1.5
-7.63	6.15	2.07	2.5	1.5
-7.65	6.19	1.94	2.5	1.5
-7.71	6.34	2.04	2.5	1.5
-7.78	6.47	1.88	2.5	1.5
-7.8	6.53	1.89	2.5	1.5
-7.81	6.57	1.9	2.5	1.5
-7.84	6.67	1.93	2.5	1.5
-7.89	6.79	1.97	2.5	1.5
-7.9	6.81	1.83	2.5	1.5
-7.95	7	1.94	2.5	1.5
-8.02	7.18	2	2.5	1.5
-8.02	7.19	1.86	2.5	1.5
-8.05	7.29	1.84	2.5	1.5
-8.09	7.43	1.84	2.5	1.5
-8.09	7.44	1.84	2.5	1.5
-8.1	7.46	1.72	2.5	1.5
-8.1	7.46	1.78	2.5	1.5
-8.14	7.67	1.84	2.5	1.5
-8.17	7.78	1.82	2.5	1.5
-8.2	7.89	1.86	2.5	1.5
-8.24	8.03	1.94	2.5	1.5
-8.28	8.14	1.68	2.5	1.5
-8.29	8.25	1.77	2.5	1.5
-8.33	8.4	1.86	2.5	1.5
-8.37	8.56	1.91	2.5	1.5
-8.38	8.59	1.78	2.5	1.5
-8.39	8.59	1.82	2.5	1.5
-8.42	8.74	1.9	2.5	1.5
-8.44	8.79	1.76	2.5	1.5
-8.46	8.92	1.78	2.5	1.5
-8.48	8.99	1.8	2.5	1.5
-8.49	9.02	1.71	2.5	1.5
-8.5	9.13	1.76	2.5	1.5
-8.53	9.3	1.86	2.5	1.5
-8.55	9.37	1.69	2.5	1.5
-8.56	9.4	1.78	2.5	1.5
-8.59	9.55	1.82	2.5	1.5
-8.61	9.65	1.78	2.5	1.5
-8.63	9.73	1.82	2.5	1.5
-8.67	9.87	1.89	2.5	1.5
-8.69	9.94	1.7	2.5	1.5
-8.69	9.96	1.81	2.5	1.5
-8.74	10.14	1.91	2.5	1.5
-8.79	10.3	1.8	2.5	1.5
-8.79	10.31	1.87	2.5	1.5
-8.86	10.54	1.93	2.5	1.5
-8.88	10.58	1.88	2.5	1.5
-8.91	10.66	1.94	2.5	1.5
-8.98	10.87	2.06	2.5	1.5
-9.06	11.01	1.95	2.5	1.5
-9.08	11.07	1.97	2.5	1.5
-9.12	11.17	1.98	2.5	1.5
-9.14	11.21	1.8	2.5	1.5
-9.15	11.22	1.83	2.5	1.5
-9.17	11.33	1.86	2.5	1.5
-9.22	11.47	1.88	2.5	1.5
-9.24	11.56	1.9	2.5	1.5
-9.26	11.61	1.74	2.5	1.5
-9.27	11.67	1.74	2.5	1.5
-9.29	11.76	1.54	2.5	1.5
-9.29	11.8	1.66	2.5	1.5
-9.3	11.92	1.46	2.5	1.5
-9.28	12.06	1.5	2.5	1.5
-9.28	12.12	1.43	2.5	1.5
-9.27	12.18	1.48	2.5	1.5
-9.26	12.33	1.52	2.5	1.5
-9.25	12.5	1.57	2.5	1.5
-9.25	12.69	1.63	2.5	1.5
-9.25	12.75	1.52	2.5	1.5
-9.25	12.75	1.45	2.5	1.5
-9.24	12.84	1.45	2.5	1.5
-9.24	12.88	1.34	2.5	1.5
-9.23	12.93	1.39	2.5	1.5
-9.2	13.09	1.48	2.5	1.5
-9.18	13.25	1.57	2.5	1.5
-9.18	13.27	1.31	2.5	1.5
-9.17	13.3	1.35	2.5	1.5
-9.13	13.48	1.34	2.5	1.5
-9.09	13.65	1.35	2.5	1.5
-9.08	13.68	1.36	2.5	1.5
-9.05	13.83	1.14	2.5	1.5
-9.03	13.88	1.24	2.5	1.5
-8.97	14.05	1.34	2.5	1.5
-8.93	14.22	1.44	2.5	1.5
-8.91	14.33	1.22	2.5	1.5
-8.91	14.34	1.26	2.5	1.5
-8.86	14.49	1.26	2.5	1.5
-8.81	14.65	1.27	2.5	1.5
-8.79	14.7	1.29	2.5	1.5
-8.75	14.85	1.33	2.5	1.5
-8.71	15	1.42	2.5	1.5
-8.69	15.16	1.46	2.5	1.5
-8.67	15.3	1.44	2.5	1.5
-8.66	15.42	1.51	2.5	1.5
-8.64	15.64	1.57	2.5	1.5
-8.64	15.8	1.6	2.5	1.5
-8.65	15.89	1.62	2.5	1.5
-8.66	16.06	1.63	2.5	1.5
-8.66	16.07	1.63	2.5	1.5
-8.66	16.1	1.5	2.5	1.5
-8.66	16.11	1.56	2.5	1.5
-8.66	16.33	1.68	2.5	1.5
-8.68	16.53	1.62	2.5	1.5
-8.69	16.71	1.73	2.5	1.5
-8.71	16.83	1.57	2.5	1.5
-8.71	16.92	1.54	2.5	1.5
-8.7	17.05	1.57	2.5	1.5
-8.7	17.13	1.51	2.5	1.5
-8.7	17.21	1.57	2.5	1.5
-8.7	17.44	1.63	2.5	1.5
-8.71	17.56	1.63	2.5	1.5
-8.71	17.6	1.5	2.5	1.5
-8.71	17.61	1.5	2.5	1.5
-8.71	17.62	1.51	2.5	1.5
-8.7	17.75	1.56	2.5	1.5
-8.7	17.94	1.66	2.5	1.5
-8.71	18.12	1.71	2.5	1.5
-8.73	18.24	1.76	2.5	1.5
-8.76	18.41	1.85	2.5	1.5
-8.78	18.48	1.7	2.5	1.5
-8.8	18.62	1.78	2.5	1.5
